Player,Season,Position,Team,TotalInjuryCount
Tedy Bruschi,2008,LB,Patriots,5
Jabari Greer,2008,CB,Bills,5
Travis LaBoy,2008,DE,Cardinals,5
Fred Taylor,2008,RB,Jaguars,5
Corey Williams,2008,DE,Browns,5
Donte Whitner,2008,S,Bills,5
Marty Booker,2008,WR,Bears,5
Ed Reed,2008,S,Ravens,5
Dewayne Robertson,2008,DT,Broncos,5
Red Bryant,2008,DT,Seahawks,5
Rashad Jeanty,2008,LB,Bengals,5
Ahmad Bradshaw,2008,RB,Giants,5
Patrick Surtain,2008,CB,Chiefs,5
Ellis Hobbs,2008,CB,Patriots,5
Donnie Edwards,2008,LB,Chiefs,5
Domenik Hixon,2008,WR,Giants,4
Rashean Mathis,2008,CB,Jaguars,4
Steven Jackson,2008,RB,Rams,4
London Fletcher,2008,LB,Redskins,4
Dewayne White,2008,DE,Lions,4
C.J. Wallace,2008,S,Seahawks,4
Jeff Saturday,2008,C,Colts,4
Brian Finneran,2008,WR,Falcons,4
Matt Ware,2008,S,Cardinals,4
Brett Keisel,2008,DE,Steelers,4
Brent Grimes,2008,CB,Falcons,4
Isaiah Stanback,2008,WR,Cowboys,4
Brandon Marshall,2008,WR,Broncos,4
Todd Herremans,2008,G,Eagles,4
Miles Austin,2008,WR,Cowboys,4
Brad Smith,2008,WR,Jets,4
Hines Ward,2008,WR,Steelers,4
Jonathan Goff,2008,LB,Giants,4
Matt Schaub,2008,QB,Texans,4
Jon Runyan,2008,T,Eagles,4
Eric Henderson,2008,DE,Bengals,4
Mike Brown,2008,S,Bears,4
David Jones,2008,CB,Bengals,4
Pago Togafau,2008,LB,Cardinals,4
Cory Redding,2008,DT,Lions,4
Eric Smith,2008,S,Jets,4
Correll Buckhalter,2008,RB,Eagles,4
Pat Thomas,2008,LB,Chiefs,4
Jason Trusnik,2008,LB,Jets,4
Cornelius Griffin,2008,DT,Redskins,4
Reggie Wayne,2008,WR,Colts,4
Mark Bradley,2008,WR,Chiefs,4
Clark Haggans,2008,LB,Cardinals,4
John Abraham,2008,DE,Falcons,4
Shaun Rogers,2008,DT,Browns,4
Chris Draft,2008,LB,Rams,4
Shaun Smith,2008,DT,Browns,4
Jamal Williams,2008,DT,Chargers,4
Deshea Townsend,2008,CB,Steelers,4
Jake Grove,2008,C,Raiders,4
Shawn Springs,2008,CB,Redskins,4
Dan Orlovsky,2008,QB,Lions,4
Mike Tolbert,2008,RB,Chargers,4
Kenny Watson,2008,RB,Bengals,4
Kevin Curtis,2008,WR,Eagles,4
Kellen Winslow,2008,TE,Browns,4
Walt Harris,2008,CB,Niners,4
La'Roi Glover,2008,DT,Rams,4
Kelley Washington,2008,WR,Patriots,4
Adalius Thomas,2008,LB,Patriots,4
Asante Samuel,2008,CB,Eagles,4
Artis Hicks,2008,T,Vikings,4
Tyjuan Hagler,2008,LB,Colts,4
Troy Polamalu,2008,S,Steelers,4
Kedric Golston,2008,DT,Redskins,4
Walter Jones,2008,T,Seahawks,4
Adrian Jones,2008,G,Chiefs,4
Vince Wilfork,2008,DT,Patriots,4
Arnaz Battle,2008,WR,Niners,4
Anquan Boldin,2008,WR,Cardinals,4
Tye Hill,2008,CB,Rams,4
Kevin Smith,2008,RB,Lions,4
Adrian Wilson,2008,S,Cardinals,4
Allen Rossum,2008,CB,Niners,4
Albert Haynesworth,2008,DT,Titans,4
Atari Bigby,2008,S,Packers,4
Jon Dorenbos,2008,LS,Eagles,3
Charles Ali,2008,RB,Browns,3
Clinton Portis,2008,RB,Redskins,3
Nate Webster,2008,LB,Broncos,3
David Thornton,2008,LB,Titans,3
JaMarcus Russell,2008,QB,Raiders,3
Keith Smith,2008,CB,Lions,3
Antonio Cromartie,2008,CB,Chargers,3
Deion Branch,2008,WR,Seahawks,3
Eric Moore,2008,DE,Rams,3
Richard Seymour,2008,DE,Patriots,3
Lewis Sanders,2008,CB,Patriots,3
Bubba Franks,2008,TE,Jets,3
Adam Carriker,2008,DT,Rams,3
Bryant McFadden,2008,CB,Steelers,3
Jason McKie,2008,RB,Bears,3
Gary Stills,2008,LB,Rams,3
Chaz Schilens,2008,WR,Raiders,3
David Hale,2008,G,Ravens,3
Vince Redd,2008,LB,Patriots,3
Jerome Simpson,2008,WR,Bengals,3
Aaron Smith,2008,DE,Steelers,3
Fred Robbins,2008,DT,Giants,3
Jerome Harrison,2008,RB,Browns,3
Marion Barber,2008,RB,Cowboys,3
Dan Koppen,2008,C,Patriots,3
Ovie Mughelli,2008,RB,Falcons,3
Jeremy Thompson,2008,DE,Packers,3
Adam Terry,2008,T,Ravens,3
Sean Morey,2008,WR,Cardinals,3
Clinton Hart,2008,S,Chargers,3
Marcus Maxwell,2008,WR,Ravens,3
Spencer Larsen,2008,LB,Broncos,3
Darnell Dinkins,2008,TE,Browns,3
Amobi Okoye,2008,DT,Texans,3
Kelvin Hayden,2008,CB,Colts,3
Chris Samuels,2008,T,Redskins,3
Chris Perry,2008,RB,Bengals,3
Shaun Ellis,2008,DE,Jets,3
Garrett Mills,2008,TE,Vikings,3
Rudy Niswanger,2008,C,Chiefs,3
Willis McGahee,2008,RB,Ravens,3
Dashon Goldson,2008,S,Niners,3
Mike Jenkins,2008,CB,Cowboys,3
Teddy Lehman,2008,LB,Bills,3
Jason Witten,2008,TE,Cowboys,3
Brian Robison,2008,DE,Vikings,3
Brandon Jackson,2008,RB,Packers,3
Leonard Little,2008,DE,Rams,3
L.J. Smith,2008,TE,Eagles,3
Ray Rice,2008,RB,Ravens,3
Jovan Haye,2008,DT,Buccaneers,3
Jason Elam,2008,K,Falcons,3
Lawrence Vickers,2008,RB,Browns,3
Laurent Robinson,2008,WR,Falcons,3
Brandon Jacobs,2008,RB,Giants,3
Mike Wahle,2008,G,Seahawks,3
Tony Ugoh,2008,T,Colts,3
Hilee Taylor,2008,DE,Panthers,3
Eric Alexander,2008,LB,Patriots,3
Zach Miller,2008,TE,Raiders,3
Randy Moss,2008,WR,Patriots,3
Tony McDaniel,2008,DT,Jaguars,3
Adam Seward,2008,LB,Panthers,3
Jason Allen,2008,CB,Dolphins,3
Matt Stover,2008,K,Ravens,3
Desmond Clark,2008,TE,Bears,3
Ben Utecht,2008,TE,Bengals,3
Leonard Pope,2008,TE,Cardinals,3
Keith Bulluck,2008,LB,Titans,3
Willie Anderson,2008,T,Ravens,3
Reggie Bush,2008,RB,Saints,3
Leroy Hill,2008,LB,Seahawks,3
Josh Morgan,2008,WR,Niners,3
Ben Hamilton,2008,G,Broncos,3
Brian Griese,2008,QB,Buccaneers,3
Mike Nugent,2008,K,Jets,3
Jarrad Page,2008,S,Chiefs,3
Josh Reed,2008,WR,Bills,3
Will Witherspoon,2008,LB,Rams,3
Pierre Garcon,2008,WR,Colts,3
Trent Edwards,2008,QB,Bills,3
Daniel Wilcox,2008,TE,Ravens,2
P.J. Pope,2008,RB,Broncos,2
Orlando Pace,2008,T,Rams,2
Kenny Peterson,2008,DT,Broncos,2
Marques Harris,2008,LB,Chargers,2
Adam Jones,2008,CB,Cowboys,2
Ernie Sims,2008,LB,Lions,2
Frank Gore,2008,RB,Niners,2
Aaron Stecker,2008,RB,Buccaneers,2
Drew Stanton,2008,QB,Lions,2
Fabian Washington,2008,CB,Ravens,2
Jammal Brown,2008,T,Saints,2
Jamar Williams,2008,LB,Bears,2
Fakhir Brown,2008,CB,Rams,2
Edwin Mulitalo,2008,G,Lions,2
Peyton Hillis,2008,RB,Broncos,2
Andre Carter,2008,DE,Redskins,2
Mark Tauscher,2008,T,Packers,2
Dustin Fox,2008,CB,Bills,2
Andre Caldwell,2008,WR,Bengals,2
Jeremy Zuttah,2008,G,Buccaneers,2
Maurice Leggett,2008,CB,Chiefs,2
Daniel Muir,2008,DT,Colts,2
Pierson Prioleau,2008,S,Jaguars,2
Pierre Woods,2008,LB,Patriots,2
Tra Thomas,2008,T,Eagles,2
Olin Kreutz,2008,C,Bears,2
Darren McFadden,2008,RB,Raiders,2
Dusty Dvoracek,2008,DT,Bears,2
Daunte Culpepper,2008,QB,Lions,2
Quintin Demps,2008,S,Eagles,2
Mario Haggan,2008,LB,Broncos,2
Eric Foster,2008,DT,Colts,2
Alfonso Boone,2008,DE,Chiefs,2
Deuce McAllister,2008,RB,Saints,2
DeMarcus Ware,2008,LB,Cowboys,2
DeSean Jackson,2008,WR,Eagles,2
DeShawn Wynn,2008,RB,Packers,2
James Harrison,2008,LB,Steelers,2
Reggie Brown,2008,WR,Eagles,2
Alex Smith,2008,TE,Buccaneers,2
Roy Williams,2008,WR,Cowboys,2
Richie Incognito,2008,G,Rams,2
Matt Jones,2008,WR,Jaguars,2
Michael Lewis,2008,S,Niners,2
Jason Snelling,2008,RB,Falcons,2
James Sanders,2008,S,Patriots,2
Alex Lewis,2008,LB,Lions,2
Derrick Burgess,2008,DE,Raiders,2
Derrick Johnson,2008,LB,Chiefs,2
David Herron,2008,LB,Vikings,2
David Hawthorne,2008,LB,Seahawks,2
Kevin Faulk,2008,RB,Patriots,2
Robert Royal,2008,TE,Bills,2
Roy Hall,2008,WR,Colts,2
Jeff Otah,2008,T,Panthers,2
Ronald Curry,2008,WR,Raiders,2
Adrian Peterson,2008,RB,Vikings,2
Erik Coleman,2008,S,Falcons,2
Donnie Avery,2008,WR,Rams,2
Jason Jones,2008,DT,Titans,2
Dominic Raiola,2008,C,Lions,2
Randy Thomas,2008,G,Redskins,2
Jeff Garcia,2008,QB,Buccaneers,2
Marshawn Lynch,2008,RB,Bills,2
Pat Lee,2008,CB,Packers,2
Roderick Hood,2008,CB,Cardinals,2
Jason Craft,2008,CB,Rams,2
Ahmad Carroll,2008,CB,Jets,2
Eric Steinbach,2008,G,Browns,2
Eric Barton,2008,LB,Jets,2
Andre Davis,2008,WR,Texans,2
Darius Reynaud,2008,WR,Vikings,2
Sammy Morris,2008,RB,Patriots,2
Gus Frerotte,2008,QB,Vikings,2
Ashley Lelie,2008,WR,Raiders,2
Josh Wilson,2008,CB,Seahawks,2
Greg Jones,2008,RB,Jaguars,2
Brandon Siler,2008,LB,Chargers,2
Brandon Stokley,2008,WR,Broncos,2
Terrence Wheatley,2008,CB,Patriots,2
Montrae Holland,2008,G,Cowboys,2
Leonard Weaver,2008,RB,Seahawks,2
Terrance Copper,2008,WR,Ravens,2
Josh Cribbs,2008,WR,Browns,2
Josh Brown,2008,K,Rams,2
Letroy Guion,2008,DT,Vikings,2
Keith Davis,2008,S,Cowboys,2
Bryan Thomas,2008,LB,Jets,2
Greg Estandia,2008,TE,Jaguars,2
Joseph Addai,2008,RB,Colts,2
Joselio Hanson,2008,CB,Eagles,2
Tamba Hali,2008,DE,Chiefs,2
Takeo Spikes,2008,LB,Niners,2
Nate Clements,2008,CB,Niners,2
Lofa Tatupu,2008,LB,Seahawks,2
Jonathan Stewart,2008,RB,Panthers,2
Antwaan Randle El,2008,WR,Redskins,2
Gibril Wilson,2008,S,Raiders,2
