Player,Season,Position,Team,TotalInjuryCount
L.J. Fort,2020,LB,Ravens,4
Pat Elflein,2020,G,Jets,4
Terron Armstead,2020,T,Saints,4
Markus Bailey,2020,LB,Bengals,4
Mike Hughes,2020,CB,Vikings,4
Michael Pittman,2020,WR,Colts,4
Micah Hyde,2020,S,Bills,4
Matt Breida,2020,RB,Dolphins,4
Mason Cole,2020,C,Cardinals,4
Myles Jack,2020,LB,Jaguars,4
Marshon Lattimore,2020,CB,Saints,4
Neiko Thorpe,2020,CB,Seahawks,4
Nelson Agholor,2020,WR,Raiders,4
Olivier Vernon,2020,DE,Browns,4
Nevin Lawson,2020,CB,Raiders,4
Nicholas Morrow,2020,LB,Raiders,4
Nick Harris,2020,C,Browns,4
Malik Reed,2020,LB,Broncos,4
Nick Keizer,2020,TE,Chiefs,4
Malcolm Smith,2020,LB,Browns,4
Nnamdi Madubuike,2020,DT,Ravens,4
Mack Wilson,2020,LB,Browns,4
Josh Hill,2020,TE,Saints,4
Jordyn Brooks,2020,LB,Seahawks,4
Ronnie Stanley,2020,T,Ravens,4
James Vaughters,2020,LB,Bears,4
Jason Verrett,2020,CB,49ers,4
Jason Spriggs,2020,T,Bears,4
Simon Stepaniak,2020,G,Packers,4
Jason Pierre-Paul,2020,DE,Buccaneers,4
Stefon Diggs,2020,WR,Bills,4
Stephen Carlson,2020,TE,Browns,4
Jarrod Wilson,2020,S,Jaguars,4
Jaquan Johnson,2020,S,Bills,4
T.J. Edwards,2020,LB,Eagles,4
Roquan Smith,2020,LB,Bears,4
T.J. Hockenson,2020,TE,Lions,4
Jamel Dean,2020,CB,Buccaneers,4
Taco Charlton,2020,DE,Chiefs,4
Jamaal Williams,2020,RB,Packers,4
Tahir Whitehead,2020,LB,Panthers,4
Taiwan Jones,2020,RB,Bills,4
Jake Butt,2020,TE,Broncos,4
Jaeden Graham,2020,TE,Falcons,4
Jaylon Johnson,2020,CB,Bears,4
Jayson Stanley,2020,CB,Seahawks,4
Jedrick Wills,2020,T,Browns,4
Jeremiah Ledbetter,2020,DT,Buccaneers,4
Jordan Elliott,2020,DT,Browns,4
Jordan Akins,2020,TE,Texans,4
Jonathan Allen,2020,DT,Football Team,4
Jonah Williams,2020,T,Bengals,4
John Simpson,2020,G,Raiders,4
Ryan Kelly,2020,C,Colts,4
John Ross,2020,WR,Bengals,4
John Jenkins,2020,DT,Bears,4
Mike Ford,2020,CB,Lions,4
Salvon Ahmed,2020,RB,Dolphins,4
Sam Ficken,2020,K,Jets,4
Joe Reed,2020,WR,Chargers,4
Joe Jones,2020,LB,Broncos,4
Sean Murphy-Bunting,2020,CB,Buccaneers,4
Joe Haden,2020,CB,Steelers,4
Senio Kelemete,2020,G,Texans,4
Shaun Bradley,2020,LB,Eagles,4
Saahdiq Charles,2020,T,Football Team,4
A.J. Bouye,2020,CB,Broncos,4
Damien Wilson,2020,LB,Chiefs,4
D.J. Jones,2020,DT,49ers,4
Dalvin Cook,2020,RB,Vikings,4
Chris Jackson,2020,CB,Titans,4
Bobby Hart,2020,T,Bengals,4
Andrew Sendejo,2020,S,Browns,4
Andrew Van Ginkel,2020,LB,Dolphins,4
Derrick Henry,2020,RB,Titans,4
Brandon Rusnak,2020,S,Jaguars,4
Braden Smith,2020,T,Colts,4
Bobby Okereke,2020,LB,Colts,4
Adam Thielen,2020,WR,Vikings,4
Arden Key,2020,DE,Raiders,4
D.J. Hayden,2020,CB,Jaguars,4
D.J. Fluker,2020,G,Ravens,4
Brandon Powell,2020,WR,Falcons,4
Damarious Randall,2020,S,Seahawks,4
Blessuan Austin,2020,CB,Jets,4
Ashtyn Davis,2020,S,Jets,4
Brian Winters,2020,G,Bills,4
Dennis Gardeck,2020,LB,Cardinals,4
Broderick Washington,2020,DT,Ravens,4
Chris Banjo,2020,S,Cardinals,4
Ahkello Witherspoon,2020,CB,49ers,4
Alvin Kamara,2020,RB,Saints,4
Charles Washington,2020,S,Cardinals,4
Chandon Sullivan,2020,CB,Packers,4
Austin Larkin,2020,DE,Panthers,4
Deatrich Wise,2020,DE,Patriots,4
Alex Smith,2020,QB,Football Team,4
C.J. Prosise,2020,RB,Texans,4
David Onyemata,2020,DT,Saints,4
David Njoku,2020,TE,Browns,4
D'Andre Swift,2020,RB,Lions,4
David Edwards,2020,G,Rams,4
Brandon Aiyuk,2020,WR,49ers,4
Donovan Wilson,2020,S,Cowboys,4
Diontae Spencer,2020,WR,Broncos,4
Corey Peters,2020,DT,Cardinals,4
Clelin Ferrell,2020,DE,Raiders,4
Domata Peko Sr.,2020,DT,Cardinals,4
Corey Davis,2020,WR,Titans,4
Chase Edmonds,2020,RB,Cardinals,3
Sam Mustipher,2020,C,Bears,3
Corey Clement,2020,RB,Eagles,3
Jarrad Davis,2020,LB,Lions,3
Jeff Heath,2020,S,Raiders,3
Trevon Wesco,2020,TE,Jets,3
Austin Schlottmann,2020,G,Broncos,3
Justin Hardee,2020,CB,Saints,3
Jason Huntley,2020,RB,Eagles,3
Collin Johnson,2020,WR,Jaguars,3
LeShaun Sims,2020,CB,Bengals,3
Josiah Deguara,2020,TE,Packers,3
Trent Williams,2020,T,49ers,3
T.J. Watt,2020,LB,Steelers,3
Daniel Ekuale,2020,DT,Jaguars,3
Charles Harris,2020,DE,Falcons,3
Charles Omenihu,2020,DE,Texans,3
Anthony McFarland,2020,RB,Steelers,3
Chase Hansen,2020,LB,Saints,3
Latavius Murray,2020,RB,Saints,3
Javon Kinlaw,2020,DT,49ers,3
Sam Franklin Jr.,2020,S,Panthers,3
Cole Mazza,2020,LS,Chargers,3
Larrell Murchison,2020,DT,Titans,3
Jaylen Samuels,2020,RB,Steelers,3
Jayron Kearse,2020,S,Lions,3
Jaylinn Hawkins,2020,S,Falcons,3
Jared Norris,2020,LB,Football Team,3
Karl Joseph,2020,S,Browns,3
Jared Goff,2020,QB,Rams,3
James Conner,2020,RB,Steelers,3
Marcus Johnson,2020,WR,Colts,3
Marcus Epps,2020,S,Eagles,3
Ty Johnson,2020,RB,Jets,3
Jalen Reagor,2020,WR,Eagles,3
Alex Lewis,2020,T,Jets,3
David Andrews,2020,C,Patriots,3
Steven Sims,2020,WR,Football Team,3
Justice Hill,2020,RB,Ravens,3
Darwin Thompson,2020,RB,Chiefs,3
Jamal Agnew,2020,WR,Lions,3
Malik Taylor,2020,WR,Packers,3
Troy Pride,2020,CB,Panthers,3
Troy Dye,2020,LB,Vikings,3
Darryl Johnson,2020,DE,Bills,3
Steven Nelson,2020,CB,Steelers,3
Jeff Wilson,2020,RB,49ers,3
Alex Redmond,2020,G,Bengals,3
Darrius Shepherd,2020,WR,Packers,3
Barkevious Mingo,2020,LB,Bears,3
M.J. Stewart,2020,CB,Browns,3
Luke Willson,2020,TE,Ravens,3
James White,2020,RB,Patriots,3
Luke Stocker,2020,TE,Falcons,3
B.J. Finney,2020,C,Bengals,3
Darqueze Dennard,2020,CB,Falcons,3
Lonnie Johnson,2020,CB,Texans,3
Darius Slayton,2020,WR,Giants,3
Jaquiski Tartt,2020,S,49ers,3
Jared Cook,2020,TE,Saints,3
T.J. Carrie,2020,CB,Colts,3
Chase Young,2020,DE,Football Team,3
Jeremy Chinn,2020,S,Panthers,3
Kyler Murray,2020,QB,Cardinals,3
Kamal Martin,2020,LB,Packers,3
Chris Milton,2020,CB,Titans,3
Shawn Williams,2020,S,Bengals,3
D.J. Wonnum,2020,DE,Vikings,3
Kenny Stills,2020,WR,Texans,3
Kenny Moore II,2020,CB,Colts,3
Andrew Wylie,2020,T,Chiefs,3
Cornelius Lucas,2020,T,Football Team,3
Cornell Armstrong,2020,CB,Texans,3
Tee Higgins,2020,WR,Bengals,3
Tanoh Kpassagnon,2020,DE,Chiefs,3
Johnathan Joseph,2020,CB,Titans,3
Kalen Ballage,2020,RB,Jets,3
Teddy Bridgewater,2020,QB,Panthers,3
Jonathan Greenard,2020,LB,Texans,3
Tramon Williams,2020,CB,Ravens,3
Kendall Fuller,2020,CB,Football Team,3
Antonio Hamilton,2020,CB,Chiefs,3
Jonathan Taylor,2020,RB,Colts,3
Kamalei Correa,2020,LB,Jaguars,3
Kelvin Beachum,2020,T,Cardinals,3
Jordan Wilkins,2020,RB,Colts,3
Taylor Lewan,2020,T,Titans,3
Keith Smith,2020,RB,Falcons,3
Taylor Decker,2020,T,Lions,3
Keion Crossen,2020,CB,Texans,3
Jordan Hicks,2020,LB,Cardinals,3
Tashawn Bower,2020,DE,Patriots,3
Anthony Walker,2020,LB,Colts,3
John Reid,2020,CB,Texans,3
Chris Manhertz,2020,TE,Panthers,3
Kevin Dotson,2020,G,Steelers,3
Andrew Norwell,2020,G,Jaguars,3
Dane Cruikshank,2020,S,Titans,3
Kareem Orr,2020,CB,Titans,3
Andre Roberts,2020,WR,Bills,3
Chaz Green,2020,T,Colts,3
Auden Tate,2020,WR,Bengals,3
Dan Chisena,2020,WR,Vikings,3
Kyle Rudolph,2020,TE,Vikings,3
Chidobe Awuzie,2020,CB,Cowboys,3
Joshua Uche,2020,LB,Patriots,3
Chris Claybrooks,2020,CB,Jaguars,3
Dan Arnold,2020,TE,Cardinals,3
Justin Murray,2020,T,Cardinals,3
Kristian Welch,2020,LB,Ravens,3
Kingsley Keke,2020,DE,Packers,3
Tom Brady,2020,QB,Buccaneers,3
Stephen Weatherly,2020,DE,Panthers,3
Chris Hogan,2020,WR,Jets,3
Marcus Maye,2020,S,Jets,3
Anfernee Jennings,2020,LB,Patriots,3
K'Von Wallace,2020,S,Eagles,3
Cody Davis,2020,S,Patriots,3
Armon Watts,2020,DT,Vikings,3
Joe Thomas,2020,LB,Cowboys,3
Dalton Keene,2020,TE,Patriots,3
Joel Bitonio,2020,G,Browns,3
Tim Patrick,2020,WR,Broncos,3
Cody Barton,2020,LB,Seahawks,3
Dorian O'Daniel,2020,LB,Chiefs,3
Bashaud Breeland,2020,CB,Chiefs,3
Jake Matthews,2020,T,Falcons,3
Hunter Bradley,2020,LS,Packers,3
Deshazor Everett,2020,S,Football Team,3
Derrick Brown,2020,DT,Panthers,3
Wes Schweitzer,2020,G,Football Team,3
Mitchell Trubisky,2020,QB,Bears,3
Geoff Swaim,2020,TE,Titans,3
Bobby Evans,2020,T,Rams,3
Mike Thomas,2020,WR,Bengals,3
Vince Williams,2020,LB,Steelers,3
Raekwon Davis,2020,DT,Dolphins,3
Mike Gesicki,2020,TE,Dolphins,3
Blake Bell,2020,TE,Cowboys,3
Grayland Arnold,2020,S,Eagles,3
Mike Edwards,2020,S,Buccaneers,3
Bryan Anger,2020,P,Texans,3
Ugo Amadi,2020,S,Seahawks,3
Rashard Lawrence,2020,DT,Cardinals,3
Rashard Robinson,2020,CB,Cowboys,3
Michael Jacquet,2020,CB,Eagles,3
Rasul Douglas,2020,CB,Panthers,3
Adrian Clayborn,2020,DE,Browns,3
Haason Reddick,2020,LB,Cardinals,3
Billy Turner,2020,T,Packers,3
Bryan Mone,2020,DT,Seahawks,3
Adrian Peterson,2020,RB,Lions,3
Tyrie Cleveland,2020,WR,Broncos,3
Melvin Ingram,2020,DE,Chargers,3
Buddy Howell,2020,RB,Texans,3
Demetrius Flannigan-Fowles,2020,LB,49ers,3
C.J. Henderson,2020,CB,Jaguars,3
Brandon Williams,2020,CB,Giants,3
Nathan Cottrell,2020,RB,Jaguars,3
Nathan Shepherd,2020,DT,Jets,3
Ed Oliver,2020,DT,Bills,3
P.J. Hall,2020,DT,Texans,3
Drew Brees,2020,QB,Saints,3
Donte Moncrief,2020,WR,Patriots,3
Dru Samia,2020,G,Vikings,3
A.J. Cann,2020,G,Jaguars,3
Duke Dawson,2020,CB,Broncos,3
Dontae Johnson,2020,CB,49ers,3
Duke Shelley,2020,CB,Bears,3
Zach Pascal,2020,WR,Colts,3
Dustin Hopkins,2020,K,Football Team,3
Odell Beckham Jr.,2020,WR,Browns,3
Dwayne Washington,2020,RB,Saints,3
Noah Togiai,2020,TE,Colts,3
Elgton Jenkins,2020,G,Packers,3
William Jackson,2020,CB,Bengals,3
Patrick Mekari,2020,C,Ravens,3
Younghoe Koo,2020,K,Falcons,3
Patrick Robinson,2020,CB,Saints,3
Brandon Allen,2020,QB,Bengals,3
Pharaoh Brown,2020,TE,Texans,3
Xavier Williams,2020,DT,Bengals,3
Phil Haynes,2020,G,Seahawks,3
Erik Harris,2020,S,Raiders,3
Devonta Freeman,2020,RB,Giants,3
Evan Engram,2020,TE,Giants,3
Devon Kennard,2020,LB,Cardinals,3
Devine Ozigbo,2020,RB,Jaguars,3
Ndamukong Suh,2020,DE,Buccaneers,3
Matthew Judon,2020,LB,Ravens,3
Blake Martinez,2020,LB,Giants,3
Steven Means,2020,DE,Falcons,3
J.J. Arcega-Whiteside,2020,WR,Eagles,3
Dee Ford,2020,DE,49ers,3
David Montgomery,2020,RB,Bears,3
Rigoberto Sanchez,2020,P,Colts,3
Marlon Humphrey,2020,CB,Ravens,3
Rico Gafford,2020,WR,Raiders,3
DeShawn Williams,2020,DT,Broncos,3
Tyler Lancaster,2020,DT,Packers,3
Marquez Callaway,2020,WR,Saints,3
De'Vondre Campbell,2020,LB,Cardinals,3
Isaiah McKenzie,2020,WR,Bills,3
Deadrin Senat,2020,DT,Falcons,3
Bilal Nichols,2020,DT,Bears,3
Davontae Harris,2020,CB,Broncos,3
Isaiah Wright,2020,WR,Football Team,3
Tyler Ott,2020,LS,Seahawks,3
Mason Crosby,2020,K,Packers,3
Richard Rodgers,2020,TE,Eagles,3
Marcus Williams,2020,S,Saints,3
Tyquan Lewis,2020,DT,Colts,3
Martinas Rankin,2020,T,Chiefs,3
Alex Lewis,2020,G,Jets,3
Hunter Henry,2020,TE,Chargers,3
Hunter Renfrow,2020,WR,Raiders,3
David Johnson,2020,RB,Texans,3
Ian Thomas,2020,TE,Panthers,3
Robert Quinn,2020,DE,Bears,3
Tye Smith,2020,CB,Titans,3
Pharoh Cooper,2020,WR,Panthers,2
Kalen Ballage,2020,RB,Chargers,2
Malcolm Perry,2020,RB,Dolphins,2
Penny Hart,2020,WR,Seahawks,2
Christian Covington,2020,DT,Bengals,2
Kamu Grugier-Hill,2020,LB,Dolphins,2
Malcolm Brown,2020,RB,Rams,2
Kareem Jackson,2020,CB,Broncos,2
Brandon Copeland,2020,LB,Patriots,2
Kelechi Osemele,2020,G,Chiefs,2
Nick Foles,2020,QB,Bears,2
Clark Harris,2020,LS,Bengals,2
Cam Newton,2020,QB,Patriots,2
Brandon Knight,2020,T,Cowboys,2
Chris Wormley,2020,DE,Steelers,2
Antonio Brown,2020,WR,Buccaneers,2
Marquise Brown,2020,WR,Ravens,2
Christian Kirksey,2020,LB,Packers,2
Cam Lewis,2020,CB,Bills,2
Antonio Gandy-Golden,2020,WR,Football Team,2
Christian Kirk,2020,WR,Cardinals,2
Patrick Mahomes,2020,QB,Chiefs,2
Patrick Onwuasor,2020,LB,Jets,2
Cameron Brate,2020,TE,Buccaneers,2
Oli Udoh,2020,T,Vikings,2
Jurrell Casey,2020,DT,Broncos,2
Steven Hauschka,2020,K,Jaguars,2
Steve McLendon,2020,DT,Jets,2
Robert Woods,2020,WR,Rams,2
Ola Adeniyi,2020,LB,Steelers,2
Anthony Hitchens,2020,LB,Chiefs,2
Ogbo Okoronkwo,2020,LB,Rams,2
Marcus Allen,2020,S,Steelers,2
Mario Edwards,2020,DT,Bears,2
Justin Jones,2020,DT,Chargers,2
Anthony Miller,2020,WR,Bears,2
Marcus Allen,2020,LB,Steelers,2
Ben Niemann,2020,LB,Chiefs,2
Mark Andrews,2020,TE,Ravens,2
Mark Barron,2020,LB,Broncos,2
Cody Whitehair,2020,C,Bears,2
Nsimba Webster,2020,WR,Rams,2
Robert Griffin III,2020,QB,Ravens,2
Stefen Wisniewski,2020,G,Steelers,2
K.J. Hill,2020,WR,Chargers,2
K.J. Osborn,2020,WR,Vikings,2
Patrick Laird,2020,RB,Dolphins,2
Cameron Brown,2020,LB,Giants,2
Bobby Wagner,2020,LB,Seahawks,2
Ka'dar Hollman,2020,CB,Packers,2
Kaden Smith,2020,TE,Giants,2
Carter Coughlin,2020,LB,Giants,2
Nick Vigil,2020,LB,Chargers,2
Bopete Keyes,2020,CB,Chiefs,2
Matthew Adams,2020,LB,Colts,2
Riley Reiff,2020,T,Vikings,2
Kyler Fackrell,2020,LB,Giants,2
Brian O'Neill,2020,T,Vikings,2
Ryan Kerrigan,2020,DE,Football Team,2
Chris Conley,2020,WR,Jaguars,2
Kristian Fulton,2020,CB,Titans,2
Rashaad Penny,2020,RB,Seahawks,2
Avery Williamson,2020,LB,Jets,2
Kyle Allen,2020,QB,Football Team,2
Matt Peart,2020,T,Giants,2
Leonard Floyd,2020,LB,Rams,2
Leki Fotu,2020,DT,Cardinals,2
Rasheem Green,2020,DE,Seahawks,2
Leighton Vander Esch,2020,LB,Cowboys,2
Lee Smith,2020,TE,Bills,2
Richie Incognito,2020,G,Raiders,2
Cameron Erving,2020,T,Cowboys,2
Richard Sherman,2020,CB,49ers,2
Billy Turner,2020,G,Packers,2
L'Jarius Sneed,2020,CB,Chiefs,2
Chase Roullier,2020,C,Football Team,2
Austin Jackson,2020,T,Dolphins,2
La'Mical Perine,2020,RB,Jets,2
Sam Tevi,2020,T,Chargers,2
Melvin Gordon,2020,RB,Broncos,2
Lamont Gaillard,2020,C,Cardinals,2
Mecole Hardman,2020,WR,Chiefs,2
C.J. Board,2020,WR,Giants,2
Austin Ekeler,2020,RB,Chargers,2
Lano Hill,2020,S,Seahawks,2
Mike Jordan,2020,G,Bengals,2
Khari Blasingame,2020,RB,Titans,2
Kendall Lamm,2020,T,Browns,2
Shaquille Quarterman,2020,LB,Jaguars,2
Sheldrick Redwine,2020,S,Browns,2
Natrez Patrick,2020,LB,Rams,2
Poona Ford,2020,DT,Seahawks,2
Sheldon Rankins,2020,DT,Saints,2
Baker Mayfield,2020,QB,Browns,2
Sam Hubbard,2020,DE,Bengals,2
Nate Herbig,2020,G,Eagles,2
Brandon Scherff,2020,G,Football Team,2
Myles Gaskin,2020,RB,Dolphins,2
Mykal Walker,2020,LB,Falcons,2
Quez Watkins,2020,WR,Eagles,2
Logan Thomas,2020,TE,Football Team,2
Arik Armstead,2020,DE,49ers,2
Bravvion Roy,2020,DT,Panthers,2
Sebastian Joseph-Day,2020,DT,Rams,2
Braxton Berrios,2020,WR,Jets,2
Marvin Jones,2020,WR,Lions,2
Kevin Givens,2020,DT,49ers,2
Shaquem Griffin,2020,LB,Seahawks,2
Quincy Wilson,2020,CB,Jets,2
Chris Jones,2020,P,Cowboys,2
Logan Ryan,2020,S,Giants,2
Shaq Thompson,2020,LB,Panthers,2
Kevin Zeitler,2020,G,Giants,2
Mitch Morse,2020,C,Bills,2
Brett Jones,2020,C,Vikings,2
Mike Purcell,2020,DT,Broncos,2
Matt Gono,2020,T,Falcons,2
Ryan Groy,2020,G,Chargers,2
Tae Crowder,2020,LB,Giants,2
Oren Burks,2020,LB,Packers,2
Jeff Gladney,2020,CB,Vikings,2
Tre Boston,2020,S,Panthers,2
Vyncint Smith,2020,WR,Jets,2
Tre'Quan Smith,2020,WR,Saints,2
Jay Elliott,2020,LB,Steelers,2
Javon Hargrave,2020,DT,Eagles,2
Javelin Guidry,2020,CB,Jets,2
Vinny Curry,2020,DE,Eagles,2
Jason Witten,2020,TE,Raiders,2
Trent Sieg,2020,LS,Raiders,2
Trent Taylor,2020,WR,49ers,2
George Odum,2020,S,Colts,2
Danny Shelton,2020,DT,Lions,2
Gerald Everett,2020,TE,Rams,2
Dante Pettis,2020,WR,49ers,2
Dare Ogunbowale,2020,RB,Jaguars,2
Jason Cabinda,2020,LB,Lions,2
Vic Beasley,2020,LB,Titans,2
Daniel Munyer,2020,C,Titans,2
Travis Kelce,2020,TE,Chiefs,2
Deon Yelder,2020,TE,Chiefs,2
Daniel Carlson,2020,K,Raiders,2
Will Holden,2020,T,Colts,2
Will Harris,2020,S,Lions,2
Todd Davis,2020,LB,Vikings,2
Andrew Adams,2020,S,Buccaneers,2
Joe Flacco,2020,QB,Jets,2
Joe Cardona,2020,LS,Patriots,2
Damon Harrison,2020,DT,Seahawks,2
Frankie Luvu,2020,LB,Jets,2
Fred Johnson,2020,T,Bengals,2
Tony Brown,2020,CB,Bengals,2
Jerry Tillery,2020,DT,Chargers,2
Will Fuller,2020,WR,Texans,2
Desmond King,2020,CB,Chargers,2
Jerome Baker,2020,LB,Dolphins,2
Dan Feeney,2020,G,Chargers,2
Adarius Taylor,2020,LB,Panthers,2
Jeff Smith,2020,WR,Jets,2
Daren Bates,2020,LB,Titans,2
Giovani Bernard,2020,RB,Bengals,2
William Gholston,2020,DE,Buccaneers,2
Jalyn Holmes,2020,DE,Vikings,2
Jaleel Johnson,2020,DT,Vikings,2
Jakob Johnson,2020,RB,Patriots,2
Jake Rodgers,2020,T,Broncos,2
Albert Okwuegbunam,2020,TE,Broncos,2
Jahleel Addae,2020,S,Chargers,2
Jacob Martin,2020,LB,Texans,2
Jacob Hollister,2020,TE,Seahawks,2
Tyler Bass,2020,K,Bills,2
David Sharpe,2020,T,Football Team,2
Davontae Harris,2020,CB,Ravens,2
Tyler Boyd,2020,WR,Bengals,2
Tyler Davis,2020,TE,Jaguars,2
J.T. Gray,2020,S,Saints,2
J.P. Holtz,2020,TE,Bears,2
DeAndre Washington,2020,RB,Dolphins,2
Alex Armah,2020,RB,Panthers,2
Ito Smith,2020,RB,Falcons,2
Hercules Mata'afa,2020,DT,Vikings,2
Al-Quadin Muhammad,2020,DE,Colts,2
Trey Edmunds,2020,RB,Steelers,2
Demetrius Harris,2020,TE,Bears,2
Jamon Brown,2020,G,Eagles,2
Jamil Douglas,2020,G,Titans,2
Denzel Mims,2020,WR,Jets,2
Jamie Gillan,2020,P,Browns,2
Jamie Collins,2020,LB,Lions,2
Trey Hopkins,2020,C,Bengals,2
James Smith-Williams,2020,DE,Football Team,2
Darrell Henderson,2020,RB,Rams,2
Greg Little,2020,T,Panthers,2
Ulysees Gilbert,2020,LB,Steelers,2
Greg Mabin,2020,CB,Jaguars,2
Greg Stroman,2020,CB,Football Team,2
Troy Hill,2020,CB,Rams,2
Grover Stewart,2020,DT,Colts,2
Tytus Howard,2020,T,Texans,2
Tyrone Crawford,2020,DE,Cowboys,2
Tyrel Dodson,2020,LB,Bills,2
Joe Noteboom,2020,G,Rams,2
Gabe Nabers,2020,RB,Chargers,2
Andrew Beck,2020,TE,Broncos,2
Jordan Reed,2020,TE,49ers,2
Josey Jewell,2020,LB,Broncos,2
Cory Littleton,2020,LB,Raiders,2
Tarell Basham,2020,LB,Jets,2
Dion Jordan,2020,DE,49ers,2
Taron Johnson,2020,CB,Bills,2
Tarvarius Moore,2020,S,49ers,2
Andrew Wingard,2020,S,Jaguars,2
Craig James,2020,CB,Eagles,2
Tanner Hudson,2020,TE,Buccaneers,2
Tavierre Thomas,2020,CB,Browns,2
Cre'von LeBlanc,2020,CB,Eagles,2
Jordan Fuller,2020,S,Rams,2
Jordan Evans,2020,LB,Bengals,2
Jordan Dangerfield,2020,S,Steelers,2
Jordan Brailford,2020,DE,Vikings,2
Jonathan Ward,2020,RB,Cardinals,2
Tanner Vallejo,2020,LB,Cardinals,2
Josh Jackson,2020,CB,Packers,2
D'Ernest Johnson,2020,RB,Browns,2
Donald Parham,2020,TE,Chargers,2
Cooper Kupp,2020,WR,Rams,2
Dorance Armstrong,2020,DE,Cowboys,2
Zay Jones,2020,WR,Raiders,2
Zane Gonzalez,2020,K,Cardinals,2
T.J. Yeldon,2020,RB,Bills,2
A.J. Epenesa,2020,DE,Bills,2
Orlando Brown,2020,T,Ravens,2
Zach Ertz,2020,TE,Eagles,2
Josh Jones,2020,S,Jaguars,2
Josh Sweat,2020,DE,Eagles,2
Edmond Robinson,2020,LB,Falcons,2
Zach Allen,2020,DT,Cardinals,2
Josh McCown,2020,QB,Texans,2
Josh Lambo,2020,K,Jaguars,2
Andy Dalton,2020,QB,Cowboys,2
Elijah Wilkinson,2020,T,Broncos,2
Yannick Ngakoue,2020,DE,Ravens,2
Jordan Willis,2020,DE,49ers,2
Isaiah Wilson,2020,T,Titans,2
John Penisini,2020,DT,Lions,2
Johnathan Joseph,2020,CB,Cardinals,2
Xavier Su'a-Filo,2020,G,Bengals,2
Devontae Booker,2020,RB,Raiders,2
DJ Moore,2020,WR,Panthers,2
Everson Griffen,2020,DE,Lions,2
Terrell Edmunds,2020,S,Steelers,2
John Hightower,2020,WR,Eagles,2
Terez Hall,2020,LB,Patriots,2
Taysom Hill,2020,QB,Saints,2
Willie Snead,2020,WR,Ravens,2
Taywan Taylor,2020,WR,Browns,2
DaQuan Jones,2020,DT,Titans,2
John Lovett,2020,TE,Packers,2
Xavier Rhodes,2020,CB,Colts,1
Aaron Brewer,2020,C,Titans,1
Tyree St. Louis,2020,T,Chargers,1
Ricardo Allen,2020,CB,Falcons,1
Parnell Motley,2020,CB,Bengals,1
Preston Williams,2020,WR,Dolphins,1
Rex Burkhead,2020,RB,Patriots,1
Bradley Chubb,2020,LB,Broncos,1
Zach Banner,2020,T,Steelers,1
Phillip Dorsett,2020,WR,Seahawks,1
Qadree Ollison,2020,RB,Falcons,1
Billy Price,2020,C,Chargers,1
Zach Cunningham,2020,LB,Texans,1
Reggie Ragland,2020,LB,Lions,1
P.J. Williams,2020,S,Saints,1
Tyre Phillips,2020,G,Browns,1
Billy Price,2020,C,Bengals,1
Porter Gustin,2020,DE,Browns,1
Oshane Ximines,2020,LB,Giants,1
Bennett Jackson,2020,S,Jets,1
Will Richardson,2020,T,Jaguars,1
Bennie Fowler,2020,WR,Saints,1
P.J. Locke,2020,S,Broncos,1
Aaron Lynch,2020,DE,Jaguars,1
Tyler Kroft,2020,TE,Bills,1
Richie Incognito,2020,G,Ravens,1
Xavien Howard,2020,CB,Bills,1
Tyler Larsen,2020,C,Panthers,1
Tyler Larsen,2020,C,Raiders,1
Albert Okwuegbunam,2020,TE,Titans,1
Tyler Shatley,2020,G,Jaguars,1
A.J. Terrell,2020,CB,Seahawks,1
Tyrann Mathieu,2020,S,Chiefs,1
P.J. Williams,2020,CB,Buccaneers,1
Tyrod Taylor,2020,QB,Panthers,1
Preston Williams,2020,WR,Bills,1
Reggie Bonnafon,2020,RB,Panthers,1
Virgil Green,2020,TE,Chargers,1
Adrian Colbert,2020,S,Steelers,1
Randy Bullock,2020,K,Bengals,1
Vic Beasley,2020,LB,Giants,1
Will Dissly,2020,TE,Patriots,1
Raekwon McMillan,2020,LB,Raiders,1
AJ McCarron,2020,QB,Texans,1
Vincent Taylor,2020,DT,Browns,1
Will Clapp,2020,C,Saints,1
AJ Dillon,2020,RB,Packers,1
Pernell McPhee,2020,DE,Ravens,1
Quinton Spain,2020,G,Bills,1
Quincy Williams,2020,LB,Jaguars,1
Pernell McPhee,2020,LB,Browns,1
Peyton Barber,2020,RB,Football Team,1
Braden Mann,2020,P,Jets,1
Blidi Wreh-Wilson,2020,CB,Falcons,1
Von Miller,2020,LB,Titans,1
Yasir Durant,2020,T,Chiefs,1
Virgil Green,2020,TE,Panthers,1
Yetur Gross-Matos,2020,DE,Raiders,1
Adarius Taylor,2020,LB,Raiders,1
A.Q. Shipley,2020,C,Buccaneers,1
Adam Gotsis,2020,DE,Colts,1
Bobby Massie,2020,T,Bears,1
Quintez Cephus,2020,WR,Lions,1
Adrian Amos,2020,S,Packers,1
Ugo Amadi,2020,CB,Seahawks,1
Billy Winn,2020,DE,Packers,1
Patrick Ricard,2020,RB,Ravens,1
Bisi Johnson,2020,WR,Vikings,1
Vance McDonald,2020,TE,Steelers,1
Adoree' Jackson,2020,CB,Giants,1
Quenton Nelson,2020,G,Vikings,1
Phillip Dorsett,2020,WR,Patriots,1
Vernon Butler,2020,DT,Jets,1
