Player,Season,Position,Team,TotalInjuryCount,ConcussionTotal
Maurice Price,2008,WR,Dolphins,1,0
Maurice Leggett,2008,CB,Chiefs,2,0
Maurice Hicks,2008,RB,Steelers,1,0
Matthew Slater,2008,WR,Patriots,1,0
Matt Ware,2008,S,Cardinals,4,0
Leon Williams,2008,LB,Cowboys,1,0
Lawrence Vickers,2008,RB,Texans,1,0
LenDale White,2008,RB,Titans,1,0
Justin Rogers,2008,LB,Cowboys,2,0
Kalimba Edwards,2008,DE,Broncos,1,0
Kabeer Gbaja-Biamila,2008,DE,Vikings,1,0
Jyles Tucker,2008,LB,Chargers,1,0
Justin Tuck,2008,DE,Giants,2,0
Justin Smith,2008,DE,Niners,1,0
Justin Smith,2008,DE,Falcons,1,0
Justin Smiley,2008,G,Dolphins,2,0
Justin Miller,2008,CB,Jets,1,0
LenDale White,2008,RB,Jets,1,0
Justin McCareins,2008,WR,Jaguars,1,0
Justin Harrell,2008,DT,Packers,2,0
Justin Durant,2008,LB,Jaguars,2,0
Justin Bannan,2008,DT,Ravens,1,0
Juqua Parker,2008,DE,Eagles,1,0
Julius Jones,2008,RB,Cardinals,1,0
Jovan Haye,2008,DT,Vikings,1,0
Kalimba Edwards,2008,DE,Raiders,1,0
Kalvin Pearson,2008,S,Buccaneers,1,0
Kareem McKenzie,2008,T,Giants,2,0
Kareem Moore,2008,S,Redskins,1,0
Kellen Winslow,2008,TE,Browns,4,0
Keiwan Ratliff,2008,CB,Colts,2,0
Keith Smith,2008,CB,Lions,3,0
Keith Smith,2008,CB,Chiefs,1,0
Keith Smith,2008,CB,Buccaneers,1,0
Keith Grennan,2008,DE,Chargers,1,0
Keith Ellison,2008,LB,Bills,1,0
Keith Davis,2008,S,Cowboys,2,0
Keith Bulluck,2008,LB,Titans,3,0
Keith Bulluck,2008,LB,Jets,1,0
Keith Brooking,2008,LB,Falcons,2,0
Keenan Burton,2008,WR,Rams,2,0
Kedric Golston,2008,DT,Redskins,4,0
Kawika Mitchell,2008,LB,Bills,1,0
Karl Paymah,2008,CB,Broncos,2,0
Jovan Haye,2008,DT,Patriots,1,0
Jovan Haye,2008,DT,Buccaneers,3,0
Josh Sitton,2008,G,Vikings,1,0
Jonathan Stewart,2008,RB,Panthers,2,0
Jonathan Goodwin,2008,C,Packers,1,0
Jonathan Goodwin,2008,C,Buccaneers,1,0
Jonathan Goff,2008,LB,Giants,4,0
Jonathan Fanene,2008,DE,Niners,1,0
Jonathan Babineaux,2008,DT,Falcons,1,0
Jonas Jennings,2008,T,Niners,1,0
Jon Runyan,2008,T,Eagles,4,0
Jon Jansen,2008,T,Redskins,2,0
Jon Dorenbos,2008,LS,Eagles,3,0
Jon Beason,2008,LB,Panthers,1,0
Jon Alston,2008,LB,Raiders,2,0
Johnny Jolly,2008,DT,Packers,1,0
Johnathan Joseph,2008,CB,Bengals,1,0
John Thornton,2008,DT,Niners,1,0
John Thornton,2008,DT,Bengals,1,0
Jonathan Goodwin,2008,C,Saints,1,0
Jonathan Stinchcomb,2008,T,Buccaneers,1,0
Josh Shaw,2008,DT,Raiders,1,0
Jonathan Stinchcomb,2008,T,Packers,1,0
Josh Shaw,2008,DT,Broncos,1,0
Josh Reed,2008,WR,Browns,1,0
Josh Reed,2008,WR,Bills,3,0
Josh Morgan,2008,WR,Rams,1,0
Josh Morgan,2008,WR,Niners,3,0
Josh Morgan,2008,WR,Falcons,1,0
Josh Cribbs,2008,WR,Cowboys,1,0
Josh Cribbs,2008,WR,Browns,2,0
Josh Brown,2008,K,Rams,2,0
Josh Bidwell,2008,P,Buccaneers,1,0
Josh Bell,2008,CB,Broncos,1,0
Joseph Addai,2008,RB,Colts,2,0
Joselio Hanson,2008,CB,Eagles,2,0
Jordon Dizon,2008,LB,Lions,1,0
Jonathan Wilhite,2008,CB,Patriots,1,0
Kellen Winslow,2008,TE,Texans,1,0
Kelley Washington,2008,WR,Patriots,4,0
Kelly Gregg,2008,DT,Bengals,1,0
Ladell Betts,2008,RB,Redskins,1,0
LaRon Landry,2008,S,Redskins,1,0
LaMont Jordan,2008,RB,Patriots,5,0
LaMarr Woodley,2008,LB,Steelers,2,0
